text,label
"The product quality is outstanding and I'm very happy with my purchase.",positive
"I had a terrible experience with customer service, won't buy again.",negative
"Delivery was fast, and the items were well-packaged.",positive
"The website is difficult to navigate and confusing.",negative
"I'm impressed with the variety of products available.",positive
"The product broke after one use, very disappointed.",negative
"Customer support was friendly and helpful.",positive
"It took too long to receive a response from support.",negative
"The app is intuitive and easy to use.",positive
"The description was misleading, not as expected.",negative
"Fantastic service and quick delivery!",positive
"Quality is not as good as advertised, regret buying this.",negative
"User interface is smooth and simple, love it!",positive
"The return process is complicated and frustrating.",negative
"Will definitely recommend to others, great experience!",positive
"The battery life is poor, needs constant charging.",negative
"Great price for the quality, very satisfied.",positive
"The color was completely different from what was shown.",negative
"Fast and efficient service, exceeded my expectations.",positive
"The food was stale and tasteless, very unhappy.",negative
